Project Started,Ward,Affordable Units
1028 Bladensburg Rd NE,Ward 5,4
1035 48th St NE,Ward 7,12
10Eleven,Ward 2,7
1122-1124 Bladensburg Rd NE,Ward 5,4
1164 Bladensburg Road NE,Ward 5,65
1212 Talbert St SE,Ward 8,2
1221 V Street SE,Ward 8,39
1244 South Capitol St SE,Ward 6,23
1314 K Street SE Cooperative,Ward 6,12
1329 & 1331 K ST Condos,Ward 6,1
1350 Nicholson Street NW,Ward 4,1
13th & U Street,Ward 1,12
1400 W ST NW,Ward 1,20
1401 Pennsylvania Ave SE,Ward 6,13
1408-1410 Quincy St NW,Ward 4,1
1416 Quincy St NW,Ward 4,2
1431 E Street NE Renovation,Ward 6,10
1460 Belmont St NW,Ward 1,2
"1500 HARRY THOMAS WAY NE, Washington, DC 20002",Ward 5,56
"1501 Harry Thomas Way, Eckington Park",Ward 5,23
1510 North Capital Condos,Ward 5,2
1515 Rhode Island Ave NE,Ward 5,2
1522 Rhode Island Ave NE,Ward 5,3
1544 Rhode Island Ave NE,Ward 5,3
1600 Pennsylvania Avenue SE,Ward 6,8
1609 Congress Street NE,Ward 6,8
1628 11th St NW,Ward 2,2
1704 R St SE,Ward 8,1
1724 Kalorama Rd Apartments,Ward 1,5
1731 Kalorama Rd NW,Ward 1,4
1734 Montello Ave NE,Ward 5,1
1736 Rhode Island Ave NE,Ward 5,61
1745 N Street NW,Ward 2,3
1777 Columbia Rd NW,Ward 1,6
1847-9 Good Hope Rd SE Renovation TOPA,Ward 8,18
2009 8th St NW,Ward 1,10
2027 Rhode Island Ave,Ward 5,6
205 V St NW,Ward 1,1
2100 2nd Street SW,Ward 6,7
"2109 R Street, SE",Ward 8,2
"22 Atlantic Cooperative Association, Inc. (Acq)",Ward 8,15
"2200-2210 Hunter Place, SE",Ward 8,10
2213 14th ST SW,Ward 1,4
"2341 Ontario Road, NW",Ward 1,2
2530-2532 Park Place SE,Ward 7,21
2607 Connecticut Ave NW,Ward 3,2
2612 4th St NE,Ward 5,1
26th Place Flats,Ward 7,2
2814 Georgia Ave NW,Ward 1,1
"28th Place, SE",Ward 7,14
2905-2909 Georgia Ave NW,,2
"300 - 350 Morse Street NE, Florida Ave Market - stage 1",Ward 5,62
300 8th St NE,Ward 6,5
301 - 331 N Street NE,Ward 6,46
301 Delafield Place,Ward 4,23
301 Florida Ave NE,Ward 6,4
301 H Street NE,Ward 6,3
301 M,Ward 6,15
3110 & 3112 Georgia Ave. NW,Ward 1,1
"3112 7th Street, NE",Ward 5,3
315 H St NE,Ward 6,9
350 Morse Street,Ward 5,49
3614 12th St NE,Ward 5,1
3619 Georgia Ave NW,Ward 1,2
3825 Georgia Avenue,Ward 4,7
4 R Street Northwest,Ward 5,1
