Project Delivered,Ward,Affordable Units
10Eleven,2,7
1115 H Street NE (Woolworth Condo),6,4
1244 South Capitol St SE,6,23
1314 K Street SE Cooperative,6,12
"1350 Florida Avenue, NW",1,4
1600 Pennsylvania Avenue SE,6,8
1628 11th St NW,2,2
1745 N Street NW,2,3
1777 Columbia Rd NW,1,6
1919 Calvert St NW Tenants Association,1,14
2321 4th Street (Rhode Island Avenue Gateway PUD),5,116
2920 Georgia Ave NW,1,2
301 H Street NE,6,3
301 M,6,15
30th Place Crescent Townhomes Phase I,5,5
30th Place Crescent Townhomes Phase II,5,21
315 H St NE,6,8
3825 Georgia Avenue,4,7
4000 Benning (St. Stephens),7,71
4016 S. Capitol St SE,8,3
4040 8th St NW TOPA,4,19
"501 H Street, NE",6,3
504 C St NE,6,1
5201 Hayes Street (Deanwood Hills),7,165
525 Water,6,11
528 Kennedy St NW,4,1
5333 Connecticut Ave NW,3,19
5741 Colorado Avenue NW Tenant Association,4,28
62nd Street Apartments (w/ PADD) - Phase II (aka Eastbrooke Apartments ),7,39
6925-6929 Georgia Avenue,4,27
919 Sheridan LLC,4,2
Altamont Place,8,36
Archer Park (Brownstein Commons) (IZ),8,8
Archer Park (Wing I),8,109
Archer Park (Wing II),8,109
Atlantic Gardens,8,172
Atlantic Plumbing,1,6
Atlantic Plumbing (2112 8th Street NW),1,29
Atlantic Terrace,8,195
"B Street (5026 B Street, SE)",7,1
Bailey Flats on Blagden,2,2
Banneker Town Homes,5,5
Barlee Tenant Association,4,62
Beacon Center,4,99
Benning Heights Apartments,7,148
Blair Road Project,4,8
Bowen Flats,8,41
Brookland Press,5,12
Brookland Station,5,1
Brooks Row,5,2
Buchanan Park Townhomes,6,3
Buxton Condominium,8,24
Cambridge Row,6,1
Channel Square,6,60
Channing Phillips,6,56
Chapin Row,1,4
Chapman Stables,5,11
City Homes at Sheridan Station 2c,8,20
Concord Apartments,4,78
Constellation on H,6,2
Corcoran Flats (1495 Gallaudet Street NE),5,1
Cornerstone Community Supportive Housing,4,7
Delta Commons (Partner Arms 4),7,36
Eden (2360 Champlain Street NW),1,2
Eden Place - Phase I,7,29
Edgewood Terrace I,5,292
"Elysium Fourteen (1925 14th Street, NW)",1,4
F1rst (Ballpark Square),6,50
Fahrenheit Condominiums,4,3
Gainesville Court,8,19
Georgia Gibson,1,5
Georgia Row at Walter Reed,4,6
Girard Street Community Partners,5,25
Girard Street Green,1,2
Glenn Arms,1,57
Glick Court,6,1
Hamlin Street Apartments,5,2
Hanover Court TOPA,8,82
Hecht's Warehouse District,5,27
HFH Transition House,7,7
Highland Dwellings,8,208
Hilltop Apartments (Acquisition),7,96
Hine Junior High School (North LIHTC Residential),6,46
Holm,2,3
Hope and a Home Scattered Sites II,1,14
Israel Manor Senior Residences,5,47
Jackson Place Flats,5,3
Juniper Heights,4,81
Justice Park,1,28
Kara House,1,10
Kendall Row,6,2
Kensington Place,5,2
Kenyon House Family Tenants Association,1,8
Kingston Condominum,6,2
Kipling House,6,5
Langdon Lofts,5,33
Legacy West End,2,15
Lincoln Westmoreland,6,108
Logan 13,2,5
Lumen Condominiums,1,2
Luzon Tenant Association,4,43
Mai Place,2,4
Mass Place ,2,160
Maya Angelou Cooperative,7,9
Metro Village,4,120
Miriam's House (N Street Village),1,25
Montage South Condominiums,4,2
Morton Street Mews,1,2
N Street Village,2,95
North Capitol Commons,6,123
Oak Street Apartments,1,51
Ontario 17,1,9
Ontario Court,1,27
Otis Place Apartments,5,1
Owen House,5,4
Park Southern Apartments,8,361
Park Van Ness,3,26
Partner Arms 1,4,14
Partner Arms 2,4,12
Patterson House,2,7
Penn 11,6,3
Phyllis Wheatley,6,84
Plaza West,6,223
"Pleasant Park Cooperative, Inc.",7,41
Pomeroy Gardens,8,60
Portner Flats,1,48
Portner Place,1,48
Pullman Place,6,3
Quincy at Fourteenth,4,2
"RAP, Inc. Community Based Residential Facility (fka The Summit)",5,38
Reed Row,1,15
"Residence at Minnesota Gardens Cooperative, Inc",7,48
River East @ Grandview,8,46
RL Christian,6,33
Rosedale Townhomes / 17 Solar (Rosedale Property Disposition),6,12
Sarah's Circle,1,49
Sheridan Station - Phase III,8,133
Sherman Avenue Apartments,1,27
SOME Scattered Site Phase II,6,98
SOME- Spring Road,1,37
Stone Hill Condominiums,6,2
Takoma Central,4,9
Takoma Place TOPA,4,105
Tenley View,3,6
The Adamo,1,3
The Adele,2,1
The Apex,1,2
The Apollo,6,35
The Bentley,2,4
The Bixby,6,39
The Chaplain,5,2
The Colonel,2,6
The Conway Center,7,178
The Corcoran,2,3
The Corey,5,6
The Edison at Union Market,5,38
The Frequency,3,2
The Gregory Apartments,8,124
The Grove at Parkside,7,186
The Hendrix,5,4
The Homestead Apartments,4,45
The Hoxton,6,1
The Maryland,6,7
The Morgan,1,4
The Norwood,2,84
The One-Five,6,5
The SeVerna Phase II (The SeVerna II LLC/Golden Rule Apartments Inc.),6,101
The Shay East,1,7
The Shay West,1,12
The View at the Waterfront South,6,4
The Vintage,1,8
The Warder,1,1
The Wharf Phase I,6,185
The Yards N Building,6,66
Thompson Place,4,19
Tobias Henson Apts.,8,64
Totten Mews,5,5
Tourus,6,2
Trinidad Properties (w/ PADD),5,9
Trinity Plaza (Retail Worker Housing Demo Initiative),8,49
Tyler House Apartments,6,284
United 2nd Street Tenant Association,8,25
Valencia Apartments,4,29
Villages at Dakota Crossing Phase III,5,24
Vizcaya Apartments,4,17
West End Parcels (Square 50 - West End Affordable),2,55
Willow & Maple,4,5
