Project Started,Ward,Affordable Units
1035 48th St NE,7,12
10Eleven,2,7
1122-1124 Bladensburg Rd NE,5,4
1164 Bladensburg Road NE,5,65
1244 South Capitol St SE,6,23
1314 K Street SE Cooperative,6,12
1329 & 1331 K ST Condos,6,1
1350 Nicholson Street NW,4,1
1401 Pennsylvania Ave SE,6,13
1431 E Street NE Renovation,6,10
"1500 HARRY THOMAS WAY NE, Washington, DC 20002",5,56
1510 North Capital Condos,5,2
1515 Rhode Island Ave NE,5,2
1522 Rhode Island Ave NE,5,3
1600 Pennsylvania Avenue SE,6,8
1609 Congress Street NE,6,8
1628 11th St NW,2,2
1734 Montello Ave NE,5,0
1745 N Street NW,2,3
1777 Columbia Rd NW,1,6
1847-9 Good Hope Rd SE Renovation TOPA,8,18
2009 8th St NW,1,0
2100 2nd Street SW,6,7
"2109 R Street, SE",8,2
"22 Atlantic Cooperative Association, Inc. (Acq)",8,15
2213 14th ST SW,1,0
"2341 Ontario Road, NW",1,2
2530-2532 Park Place SE,7,21
2814 Georgia Ave NW,1,1
"28th Place, SE",7,14
"300 - 350 Morse Street NE, Florida Ave Market - stage 1",5,62
300 8th St NE,6,5
301 - 331 N Street NE,6,30
301 Delafield Place,4,23
301 Florida Ave NE,6,4
301 H Street NE,6,3
301 M,6,15
3110 & 3112 Georgia Ave. NW,1,1
"3112 7th Street, NE",5,3
315 H St NE,6,8
350 Morse Street,5,49
3614 12th St NE,5,1
3619 Georgia Ave NW,1,2
3825 Georgia Avenue,4,7
4 R Street Northwest,5,0
400 Florida Avenue NE,5,14
4000 Benning (St. Stephens),7,71
4040 8th St NW TOPA,4,19
4300 12th Street SE,8,26
4523 Georgia Ave NW,4,1
4804 Georgia Ave NW,4,2
49-53 Missouri Ave NW,4,10
4910 Georgia Ave NW,4,3
"501 H Street, NE",6,3
504 C St NE,6,1
505 Jefferson St NW,4,14
5201 Hayes Street (Deanwood Hills),7,165
528 Kennedy St NW,4,1
5301-5303 Connecticut Ave NW,3,0
5400 5th St Acquisition,4,12
"5702 Georgia Avenue, NW",4,3
625 Park Rd NW,1,4
646 H St NE,6,2
710 Jefferson St NW,4,14
713 Lamont St NW,1,15
7440 Georgia Ave NW TOPA,4,21
7700 Georgia,1,3
811 Upshur St NW,4,1
836 Varnum St NW,4,2
838 Varnum St NW,4,1
"8th and T Street, NW",1,4
917 Sheridan,4,2
919 Sheridan LLC,4,2
929 Kennedy St. NW,4,2
Abrams Hall,4,80
Ainger Place,8,72
Altamont Place,8,36
Amber Overlook,7,32
Amida,5,2
Archer Park (Brownstein Commons) (IZ),8,8
Archer Park (Wing I),8,109
Archer Park (Wing II),8,109
Atlantic Gardens,8,172
Atlantic Terrace,8,195
Avec,6,32
Avidian ,6,0
Barlee Tenant Association,4,62
Beacon Center,4,99
Beckert's Park (Capitol Hill Apartments on 14th),6,0
Belmont Crossing,8,275
BEN-E Cooperative,7,29
Benning Heights Apartments,7,148
Blair Road Project,4,8
Boathouse,2,22
Bowen Flats,8,41
Brookland Place Apartments,5,80
Brookland Press,5,12
Brookland Station,5,1
Buchanan Park Townhomes,6,3
